Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Vorster, J., Rasoolizadeh, A., Goulet, M.-C., Cloutier, C., Sainsbury, F., Michaud, D.","Positive selection of digestive Cys proteases in herbivorous Coleoptera",2015,"Insect Biochemistry and Molecular Biology","65",,,"10","19",,,10.1016/j.ibmb.2015.07.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939607320&partnerID=40&md5=39d9b41c9c49b5b96c43c92f4e33d822",Article,Scopus,2-s2.0-84939607320
"Mphangwe, N.I.K., Vorster, J., Steyn, J.M., Nyirenda, H.E., Taylor, N.J., Apostolides, Z.","Screening of tea (camellia sinensis) for trait-associated molecular markers",2013,"Applied Biochemistry and Biotechnology","171","2",,"437","449",,1,10.1007/s12010-013-0370-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883755155&partnerID=40&md5=3dd7186a9962e1c2bfe621e892db1009",Article,Scopus,2-s2.0-84883755155
"Pillay, P., Schlüter, U., Van Wyk, S., Kunert, K.J., Vorster, B.J.","Proteolysis of recombinant proteins in bioengineered plant cells",2013,"Bioengineered","5","1",,"","",,1,10.4161/bioe.25158,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891807040&partnerID=40&md5=031e8104d0687329ea6e651f2ab0e967",Review,Scopus,2-s2.0-84891807040
"Sainsbury, F., Rhéaume, A.-J., Goulet, M.-C., Vorster, J., Michaud, D.","Discrimination of differentially inhibited cysteine proteases by activity-based profiling using cystatin variants with tailored specificities",2012,"Journal of Proteome Research","11","12",,"5983","5993",,5,10.1021/pr300699n,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870950752&partnerID=40&md5=23702d6a5842ea3676f2bbf1eb5377d3",Article,Scopus,2-s2.0-84870950752
"Pillay, P., Kibido, T., Du Plessis, M., Van Der Vyver, C., Beyene, G., Vorster, B.J., Kunert, K.J., Schlüter, U.","Use of transgenic oryzacystatin-i-expressing plants enhances recombinant protein production",2012,"Applied Biochemistry and Biotechnology","168","6",,"1608","1620",,5,10.1007/s12010-012-9882-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871811199&partnerID=40&md5=979f98000ef33fecff3198323322c525",Article,Scopus,2-s2.0-84871811199
"Kunert, K.J., Okole, B., Vorster, B.J., Brewin, N.J., Cullis, C.A.","A general model for training the next generation of biotechnology entrepreneurs based on recent experience of USA-UK-South Africa collaborations",2012,"Journal of Commercial Biotechnology","18","3",,"62","66",,3,10.5912/jcb.525,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864851733&partnerID=40&md5=c5ce5a1fde711f1de15af68a678ce261",Short Survey,Scopus,2-s2.0-84864851733
"Afiukwa, C.A., Kunert, K.J., Vorster, J., Cullis, C.A., Ubi, B.E.","Microsatellite association with seed protein content and flowering time in Nigerian cowpea cultivars",2011,"African Journal of Biotechnology","10","79",,"18057","18064",,,10.5897/AJB10.2537,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856420524&partnerID=40&md5=95660b6387406bfe372c3b52574ead15",Article,Scopus,2-s2.0-84856420524
"Benchabane, M., Schlüter, U., Vorster, J., Goulet, M.-C., Michaud, D.","Plant cystatins",2010,"Biochimie","92","11",,"1657","1666",,51,10.1016/j.biochi.2010.06.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78149358023&partnerID=40&md5=fabd897faed30cb5fd0e875992e2813b",Review,Scopus,2-s2.0-78149358023
"Schlüter, U., Benchabane, M., Munger, A., Kiggundu, A., Vorster, J., Goulet, M.-C., Cloutier, C., Michaud, D.","Recombinant protease inhibitors for herbivore pest control: A multitrophic perspective",2010,"Journal of Experimental Botany","61","15",,"4169","4183",,43,10.1093/jxb/erq166,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77958056674&partnerID=40&md5=40c4bd81f08a931ee38aed7892b7536a",Article,Scopus,2-s2.0-77958056674
"Khalf, M., Goulet, C., Vorster, J., Brunelle, F., Anguenot, R., Fliss, I., Michaud, D.","Tubers from potato lines expressing a tomato Kunitz protease inhibitor are substantially equivalent to parental and transgenic controls",2010,"Plant Biotechnology Journal","8","2",,"155","169",,20,10.1111/j.1467-7652.2009.00471.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73949146353&partnerID=40&md5=18869c678a105850f5dc2f98fdc7623c",Article,Scopus,2-s2.0-73949146353
"Kiggundu, A., Muchwezi, J., van der Vyver, C., Viljoen, A., Vorster, J., Schlüter, U., Kunert, K., Michaud, D.","Deleterious effects of plant cystatins against the banana weevil Cosmopolites sordidus",2010,"Archives of Insect Biochemistry and Physiology","73","2",,"87","105",,13,10.1002/arch.20342,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950503209&partnerID=40&md5=b9a4e5c85ea43f1d0700686359bc6a39",Article,Scopus,2-s2.0-77950503209
"Cullis, C.A., Vorster, B.J., Van Der Vyver, C., Kunert, K.J.","Transfer of genetic material between the chloroplast and nucleus: How is it related to stress in plants?",2009,"Annals of Botany","103","4",,"625","633",,14,10.1093/aob/mcn173,"http://www.scopus.com/inward/record.url?eid=2-s2.0-59849102471&partnerID=40&md5=e71f7c92e06b6a945dd49751acd36e0c",Review,Scopus,2-s2.0-59849102471
"Vorster, B.J., Kunert, K.J., Cullis, C.A.","Use of representational difference analysis for the characterization of sequence differences between date palm varieties",2002,"Plant Cell Reports","21","3",,"271","275",,9,10.1007/s00299-002-0501-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0346666931&partnerID=40&md5=5addf8cb438704bce34a36ebb99b19ab",Article,Scopus,2-s2.0-0346666931
"Kunert, K.J., Vorster, J., Bester, C., Cullis, C.A.","DNA microchip technology in the plant tissue culture industry",2002,"ACS Symposium Series","829",,,"86","96",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0041808815&partnerID=40&md5=b2eb880d2701ef6ef73a86f0835cfad3",Article,Scopus,2-s2.0-0041808815
