Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ivanchenko, M.G., Zhu, J., Wang, B., Medvecká, E., Du, Y., Azzarello, E., Mancuso, S., Megraw, M., Filichkin, S., Dubrovsky, J.G., Friml, J.í., Geisler, M.","The cyclophilin a DIAGEOTROPICA gene affects auxin transport in both root and shoot to control lateral root formation",2015,"Development (Cambridge)","142","4",,"712","721",,2,10.1242/dev.113225,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922569603&partnerID=40&md5=dd3a6b901f08b68d574e0e1d601f059a",Article,Scopus,2-s2.0-84922569603
"Ding, C., Zhang, L., Wang, B.","Hidden space discriminant neighborhood embedding",2014,"Proceedings of the International Joint Conference on Neural Networks",,, 6889365,"271","277",,1,10.1109/IJCNN.2014.6889365,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908495781&partnerID=40&md5=ebb14846c3315a281087f516e1e3c2d8",Conference Paper,Scopus,2-s2.0-84908495781
"Geisler, M., Wang, B., Zhu, J.","Auxin transport during root gravitropism: Transporters and techniques",2014,"Plant Biology","16","SUPPL.1",,"50","57",,10,10.1111/plb.12030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890918102&partnerID=40&md5=9c97fa7dcab2f6ba18bf42b322739194",Review,Scopus,2-s2.0-84890918102
"Bailly, A., Wang, B., Zwiewka, M., Pollmann, S., Schenck, D., Lüthen, H., Schulz, A., Friml, J., Geisler, M.","Expression of TWISTED DWARF1 lacking its in-plane membrane anchor leads to increased cell elongation and hypermorphic growth",2014,"Plant Journal","77","1",,"108","118",,,10.1111/tpj.12369,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890967298&partnerID=40&md5=83f74a45278e182cf67691d1ba17ad25",Article,Scopus,2-s2.0-84890967298
"Serrano, M., Wang, B., Aryal, B., Garcion, C., Abou-Mansour, E., Heck, S., Geisler, M., Mauch, F., Nawrath, C., Métraux, J.-P.","Export of salicylic acid from the chloroplast requires the multidrug and toxin extrusion-like transporter EDS5",2013,"Plant Physiology","162","4",,"1815","1821",,32,10.1104/pp.113.218156,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880973936&partnerID=40&md5=eabd3615a87df08c281e06e6ab82770b",Article,Scopus,2-s2.0-84880973936
"Ding, Z., Wang, B., Moreno, I., Dupláková, N., Simon, S., Carraro, N., Reemmer, J., Pěnčík, A., Chen, X., Tejos, R., Skůpa, P., Pollmann, S., Mravec, J., Petrášek, J., Zažímalová, E., Honys, D., Rolčík, J., Murphy, A., Orellana, A., Geisler, M., Friml, J.","Erratum: ER-localized auxin transporter PIN8 regulates auxin homoeostasis and male gametophyte development in Arabidopsis (Nature Communications (2012) 3 (941) DOI: 10.1038/ncomms1941)",2013,"Nature Communications","4",, 1421,"","",,,10.1038/ncomms2452,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874619603&partnerID=40&md5=b50c4d43fdcf94b785c74d13a16edf67",Erratum,Scopus,2-s2.0-84874619603
"Wang, B., Bailly, A., Zwiewk, M., Henrichs, S., Azzarello, E., Mancuso, S., Maeshima, M., Friml, J., Schulz, A., Geisler, M.","Arabidopsis TWISTED DWARF1 functionally interacts with auxin exporter ABCB1 on the root plasma membrane",2013,"Plant Cell","25","1",,"202","214",,16,10.1105/tpc.112.105999,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874507548&partnerID=40&md5=b66a486d2735aab1b4ad7ad01de153df",Article,Scopus,2-s2.0-84874507548
"Wang, B., Henrichs, S., Geisler, M.","The AGC kinase, PINOID, blocks interactive ABCB/PIN auxin transport",2012,"Plant Signaling and Behavior","7","12",,"","",,1,10.4161/psb.22093,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871256005&partnerID=40&md5=1255f2efa040c8de6fb444b83428ebc7",Article,Scopus,2-s2.0-84871256005
"Kamimoto, Y., Terasaka, K., Hamamoto, M., Takanashi, K., Fukuda, S., Shitan, N., Sugiyama, A., Suzuki, H., Shibata, D., Wang, B., Pollmann, S., Geisler, M., Yazaki, K.","Arabidopsis ABCB21 is a facultative auxin importer/exporter regulated by cytoplasmic auxin concentration",2012,"Plant and Cell Physiology","53","12",,"2090","2100",,18,10.1093/pcp/pcs149,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870846783&partnerID=40&md5=a675f16dd848b8c0eccefc248098b9ba",Article,Scopus,2-s2.0-84870846783
"Wang, B., Henrichs, S., Geisler, M.","The AGC kinase, PINOID, blocks interactive ABCB/PIN auxin transport.",2012,"Plant signaling & behavior","7","12",,"1515","1517",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891611190&partnerID=40&md5=873c7f06bbea315d34c4303b9334bab0",Article,Scopus,2-s2.0-84891611190
"Ding, Z., Wang, B., Moreno, I., Duplá Ková, N., Simon, S., Carraro, N., Reemmer, J., Pě Nčí K, A., Chen, X., Tejos, R., SkÅpa, P., Pollmann, S., Mravec, J., Petrá Š Ek, J., ZaÅimalova, E., Honys, D., Rolčí K, J., Murphy, A., Orellana, A., Geisler, M., Friml, J.","ER-localized auxin transporter PIN8 regulates auxin homeostasis and male gametophyte development in Arabidopsis",2012,"Nature Communications","3",, 941,"","",,55,10.1038/ncomms1941,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864247390&partnerID=40&md5=0d0f5c3196c9bf7815bd2a45bc6c418e",Article,Scopus,2-s2.0-84864247390
"Henrichs, S., Wang, B., Fukao, Y., Zhu, J., Charrier, L., Bailly, A., Oehring, S.C., Linnert, M., Weiwad, M., Endler, A., Nanni, P., Pollmann, S., Mancuso, S., Schulz, A., Geisler, M.","Regulation of ABCB1/PGP1-catalysed auxin transport by linker phosphorylation",2012,"EMBO Journal","31","13",,"2965","2980",,18,10.1038/emboj.2012.120,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863824076&partnerID=40&md5=83c7a7b0c5def7a1c91600ebca4848e6",Article,Scopus,2-s2.0-84863824076
"Barbez, E., Kubeš, M., Rolčík, J., Béziat, C., Pěnčík, A., Wang, B., Rosquete, M.R., Zhu, J., Dobrev, P.I., Lee, Y., Zašímalovà, E., Petrášek, J., Geisler, M., Friml, J., Kleine-Vehn, J.","A novel putative auxin carrier family regulates intracellular auxin homeostasis in plants",2012,"Nature","485","7396",,"119","122",,75,10.1038/nature11001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860541463&partnerID=40&md5=34ce79eba8a490b96b5f7823ffc9b526",Article,Scopus,2-s2.0-84860541463
"Wang, B., Wang, Y., Wang, Q., Luo, G., Zhang, Z., He, C., Si, J.H., Zhang, J., Gai, J., Chen, S.","Characterization of an NBS-LRR resistance gene homologue from soybean",2004,"Journal of Plant Physiology","161","7",,"815","822",,13,10.1016/j.jplph.2004.01.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-3242658203&partnerID=40&md5=1bc610267fa1fee2fe51b38a098c3a16",Article,Scopus,2-s2.0-3242658203
"Wang, B.-J., Zhang, Z.-G., Li, X.-G., Wang, Y.-J., He, C.-Y., Zhang, J.-S., Chen, S.-Y.","Cloning analysis of a disease resistance gene homolog from soybean",2003,"Acta Botanica Sinica","45","7",,"864","870",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141537235&partnerID=40&md5=0ec5b1c6a7e3ea7df3d9905600f2bade",Article,Scopus,2-s2.0-0141537235
