Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"White, R.G.","Probing plasmodesmata function with biochemical inhibitors",2015,"Methods in Molecular Biology","1217",,,"199","227",,,10.1007/978-1-4939-1523-1_14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921775584&partnerID=40&md5=4aaace9f438a88386dee0011931578cd",Article,Scopus,2-s2.0-84921775584
"Liang, D., White, R.G., Waterhouse, P.M.","Mobile gene silencing in Arabidopsis is regulated by hydrogen peroxide",2014,"PeerJ","2014","12", e701,"","",,,10.7717/peerj.701,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928169473&partnerID=40&md5=0ff66f4f4de5a7abbe2a12a900b30f53",Article,Scopus,2-s2.0-84928169473
"Burrows, G.E., White, R.G., Harper, J.D.I., Heady, R.D., Stanton, R.A., Zhu, X., Wu, H., Lemerle, D.","Intrusive trichome bases in the leaves of silverleaf nightshade (Solanum elaeagnifolium; Solanaceae) do not facilitate fluorescent tracer uptake",2013,"American Journal of Botany","100","12",,"2307","2317",,2,10.3732/ajb.1300034,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890047275&partnerID=40&md5=59ea175af8042dc22b897ab06174d710",Article,Scopus,2-s2.0-84890047275
"Talbot, M.J., White, R.G.","Cell surface and cell outline imaging in plant tissues using the backscattered electron detector in a variable pressure scanning electron microscope",2013,"Plant Methods","9","1", 40,"","",,3,10.1186/1746-4811-9-40,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885486546&partnerID=40&md5=429c5686cdc5f486430ce6d3601b9cce",Article,Scopus,2-s2.0-84885486546
"Talbot, M.J., White, R.G.","Methanol fixation of plant tissue for Scanning Electron Microscopy improves preservation of tissue morphology and dimensions",2013,"Plant Methods","9","1", 36,"","",,5,10.1186/1746-4811-9-36,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884787273&partnerID=40&md5=b4f0e130138ba94fbe1f2bef49024ac7",Article,Scopus,2-s2.0-84884787273
"Barrero, J.M., Mrva, K., Talbot, M.J., White, R.G., Taylor, J., Gubler, F., Mares, D.J.","Genetic, hormonal, and physiological analysis of late maturity α-amylase in wheat",2013,"Plant Physiology","161","3",,"1265","1277",,14,10.1104/pp.112.209502,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874628150&partnerID=40&md5=37f7a7bac7247a023566a471051072f0",Article,Scopus,2-s2.0-84874628150
"Melino, V.J., Drew, E.A., Ballard, R.A., Reeve, W.G., Thomson, G., White, R.G., O'Hara, G.W.","Identifying abnormalities in symbiotic development between Trifolium spp. and Rhizobium leguminosarum bv. trifolii leading to sub-optimal and ineffective nodule phenotypes",2012,"Annals of Botany","110","8",,"1559","1572",,5,10.1093/aob/mcs206,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870197214&partnerID=40&md5=fe1011e173adc1c9932797cc534ed36d",Article,Scopus,2-s2.0-84870197214
"White, R.G.","Cell Biology of Sieve Element-Companion Cell Complexes",2012,"Phloem: Molecular Cell Biology, Systemic Communication, Biotic Interactions",,,,"8","29",,,10.1002/9781118382806.ch2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886522947&partnerID=40&md5=99a5f3ebdac4ddce7e88d38eb4ea000c",Book Chapter,Scopus,2-s2.0-84886522947
"Liang, D., White, R.G., Waterhouse, P.M.","Gene silencing in Arabidopsis spreads from the root to the shoot, through a gating barrier, by template-dependent, nonvascular, cell-to-cell movement",2012,"Plant Physiology","159","3",,"984","1000",,18,10.1104/pp.112.197129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863695715&partnerID=40&md5=d1db01aa4cf0a1cf10d04fc0cbea8829",Article,Scopus,2-s2.0-84863695715
"Vega-Sánchez, M.E., Verhertbruggen, Y., Christensen, U., Chen, X., Sharma, V., Varanasi, P., Jobling, S.A., Talbot, M., White, R.G., Joo, M., Singh, S., Auer, M., Scheller, H.V., Ronald, P.C.","Loss of cellulose synthase-like F6 function affects mixed-linkage glucan deposition, cell wall mechanical properties, and defense responses in vegetative tissues of ricespi",2012,"Plant Physiology","159","1",,"56","69",,32,10.1104/pp.112.195495,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860591380&partnerID=40&md5=057e9ff6a212a0bfb543acf9a65cd47e",Article,Scopus,2-s2.0-84860591380
"Barrero, J.M., Jacobsen, J.V., Talbot, M.J., White, R.G., Swain, S.M., Garvin, D.F., Gubler, F.","Grain dormancy and light quality effects on germination in the model grass Brachypodium distachyon",2012,"New Phytologist","193","2",,"376","386",,26,10.1111/j.1469-8137.2011.03938.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84155163926&partnerID=40&md5=d32d733c5b7831fbd86a2a04f10098a7",Article,Scopus,2-s2.0-84155163926
"White, R.G., Barton, D.A.","The cytoskeleton in plasmodesmata: A role in intercellular transport?",2011,"Journal of Experimental Botany","62","15",,"5249","5266",,24,10.1093/jxb/err227,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82255163277&partnerID=40&md5=eab312cbdff1b6edfde7c51f38339de7",Review,Scopus,2-s2.0-82255163277
"Ayliffe, M., Devilla, R., Mago, R., White, R., Talbot, M., Pryor, A., Leung, H.","Nonhost resistance of rice to rust pathogens",2011,"Molecular Plant-Microbe Interactions","24","10",,"1143","1155",,22,10.1094/MPMI-04-11-0100,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052633554&partnerID=40&md5=b146649113ddab3bfbb2411e5e538ab4",Article,Scopus,2-s2.0-80052633554
