Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ullah, M.O., Valkov, E., Ve, T., Williams, S., Mas, C., Mansell, A., Kobe, B.","Recombinant production of functional full-length and truncated human TRAM/TICAM-2 adaptor protein involved in Toll-like receptor and interferon signaling",2015,"Protein Expression and Purification","106",,,"31","40",,,10.1016/j.pep.2014.09.019,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911456248&partnerID=40&md5=5321ac3355f15a6037f12aea6ba8920e",Article,Scopus,2-s2.0-84911456248
"Ve, T., Williams, S.J., Kobe, B.","Structure and function of Toll/interleukin-1 receptor/resistance protein (TIR) domains",2015,"Apoptosis","20","2",,"250","261",,2,10.1007/s10495-014-1064-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925465183&partnerID=40&md5=e4512bb75fac9bd993ee1fd7a8e3ccfa",Article,Scopus,2-s2.0-84925465183
"Kobe, B., Ve, T., Williams, S.J.","Fusion-protein-assisted protein crystallization",2015,"Acta Crystallographica Section:F Structural Biology Communications","71",,,"861","869",,,10.1107/S2053230X15011061,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937424909&partnerID=40&md5=8de86f75a59d59e76944949d5ece9733",Article,Scopus,2-s2.0-84937424909
"Williams, S.J., Sohn, K.H., Wan, L., Bernoux, M., Sarris, P.F., Segonzac, C., Ve, T., Ma, Y., Saucet, S.B., Ericsson, D.J., Casey, L.W., Lonhienne, T., Winzor, D.J., Zhang, X., Coerdt, A., Parker, J.E., Dodds, P.N., Kobe, B., Jones, J.D.G.","Structural basis for assembly and function of a heterodimeric plant immune receptor",2014,"Science","344","6181",,"299","303",,37,10.1126/science.1247357,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899491083&partnerID=40&md5=1dbec08af616144aa350991d4bc546e5",Article,Scopus,2-s2.0-84899491083
"Sohn, K.H., Segonzac, C., Rallapalli, G., Sarris, P.F., Woo, J.Y., Williams, S.J., Newman, T.E., Paek, K.H., Kobe, B., Jones, J.D.G.","The Nuclear Immune Receptor RPS4 Is Required for RRS1SLH1-Dependent Constitutive Defense Activation in Arabidopsis thaliana",2014,"PLoS Genetics","10","10",,"","",17,6,10.1371/journal.pgen.1004655,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908329396&partnerID=40&md5=91cc789f41834b9d0204ca647b5c4f4c",Article,Scopus,2-s2.0-84908329396
"Chang, C.-W., Williams, S.J., Couñago, R.M., Kobe, B.","Structural basis of interaction of bipartite nuclear localization signal from agrobacterium VirD2 with rice importin-α",2014,"Molecular Plant","7","6",,"1061","1064",,1,10.1093/mp/ssu014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901921677&partnerID=40&md5=1cdf6d9b32665158f9c8db6b1cb718f6",Letter,Scopus,2-s2.0-84901921677
"Chang, C.-W., Miguez Couñago, R.L., Williams, S.J., Bodén, M., Kobe, B.","Crystal structure of rice importin-α and structural basis of its interaction with plant-specific nuclear localization signals",2013,"Plant Cell","24","12",,"5074","5088",,13,10.1105/tpc.112.104422,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873047215&partnerID=40&md5=80e6e4150d4094f1c66455c53a7ce584",Article,Scopus,2-s2.0-84873047215
"Wan, L., Zhang, X., Williams, S.J., Ve, T., Bernoux, M., Sohn, K.H., Jones, J.D.G., Dodds, P.N., Kobe, B.","Crystallization and preliminary X-ray diffraction analyses of the TIR domains of three TIR-NB-LRR proteins that are involved in disease resistance in Arabidopsis thaliana",2013,"Acta Crystallographica Section F: Structural Biology and Crystallization Communications","69","11",,"1275","1280",,1,10.1107/S1744309113026614,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887272371&partnerID=40&md5=291ae4c844b4a5b25b6241cf863edd2d",Article,Scopus,2-s2.0-84887272371
"Chang, C.-W., Couñago, R.M., Williams, S.J., Bodén, M., Kobe, B.","Distinctive Conformation of Minor Site-Specific Nuclear Localization Signals Bound to Importin-α",2013,"Traffic","14","11",,"1144","1154",,11,10.1111/tra.12098,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885371123&partnerID=40&md5=25a4a8c45101d4a5fecdeaf5411ac93e",Article,Scopus,2-s2.0-84885371123
"Ve, T., Williams, S.J., Catanzariti, A.-M., Rafiqi, M., Rahman, M., Ellis, J.G., Hardham, A.R., Jones, D.A., Anderson, P.A., Dodds, P.N., Kobe, B.","Structures of the flax-rust effector AvrM reveal insights into the molecular basis of plant-cell entry and effector-triggered immunity",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","43",,"17594","17599",,10,10.1073/pnas.1307614110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886411524&partnerID=40&md5=7025684896df83c8f13363836559cd64",Article,Scopus,2-s2.0-84886411524
"Chang, C.-W., Couñago, R.M., Williams, S.J., Boden, M., Kobe, B.","The distribution of different classes of nuclear localization signals (NLSs) in diverse organisms and the utilization of the minor NLS-binding site in plant nuclear import factor importin-α",2013,"Plant Signaling and Behavior","8","10",,"","",,,10.4161/psb.25976,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885202787&partnerID=40&md5=494994e249a26d78ae7c136129804b86",Article,Scopus,2-s2.0-84885202787
"Wan, L., Williams, S.J., Zhang, X., Ericsson, D.J., Koeck, M., Dodds, P.N., Ellis, J.G., Kobe, B.","Crystallization and preliminary X-ray diffraction analysis of the flax cytokinin oxidase LuCKX1.1",2013,"Acta Crystallographica Section F: Structural Biology and Crystallization Communications","69","10",,"1094","1096",,,10.1107/S1744309113023142,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885455458&partnerID=40&md5=8786559a06e7c8a927ac50ec9055c6f9",Article,Scopus,2-s2.0-84885455458
"Blundell, R.D., Williams, S.J., Morrow, C.A., Ericsson, D.J., Kobe, B., Fraser, J.A.","Purification, crystallization and preliminary X-ray analysis of adenylosuccinate synthetase from the fungal pathogen Cryptococcus neoformans",2013,"Acta Crystallographica Section F: Structural Biology and Crystallization Communications","69","9",,"1033","1036",,,10.1107/S1744309113021921,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883442171&partnerID=40&md5=398c51cb8daf4d66dbea96a86efa277c",Article,Scopus,2-s2.0-84883442171
"Morrow, C.A., Valkov, E., Stamp, A., Chow, E.W.L., Lee, I.R., Wronski, A., Williams, S.J., Hill, J.M., Djordjevic, J.T., Kappler, U., Kobe, B., Fraser, J.A.","De novo GTP Biosynthesis Is Critical for Virulence of the Fungal Pathogen Cryptococcus neoformans",2012,"PLoS Pathogens","8","10", e1002957,"","",,9,10.1371/journal.ppat.1002957,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868150577&partnerID=40&md5=06908d156369759a45f9a379bbfb1622",Article,Scopus,2-s2.0-84868150577
