Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ó'Maoiléidigh, D.S., Thomson, B., Raganelli, A., Wuest, S.E., Ryan, P.T., Kwas̈niewska, K., Carles, C.C., Graciet, E., Wellmer, F.","Gene network analysis of Arabidopsis thaliana flower development through dynamic gene perturbations",2015,"Plant Journal","83","2",,"344","358",,1,10.1111/tpj.12878,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936847280&partnerID=40&md5=5c757e3e68c0f20d4d76c2bd538f75ba",Article,Scopus,2-s2.0-84936847280
"Wuest, S.E., Grossniklaus, U.","Laser-assisted microdissection applied to floral tissues",2014,"Methods in Molecular Biology","1110",,,"329","344",,1,10.1007/978-1-4614-9408-9-19,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898770905&partnerID=40&md5=7011aded5b902e12dc8ab6c008ee8b41",Article,Scopus,2-s2.0-84898770905
"Wuest, S.E., Grossniklaus, U.","Laser-assisted microdissection applied to floral tissues",2014,"Methods in Molecular Biology","1110",,,"329","344",,,10.1007/978-1-4614-9408-9_19,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934434952&partnerID=40&md5=c481ccc8056fdcc1555bc3929548e066",Article,Scopus,2-s2.0-84934434952
"Ó'Maoiléidigh, D.S., Wuest, S.E., Rae, L., Raganelli, A., Ryan, P.T., Kwaśniewska, K., Das, P., Lohan, A.J., Loftus, B., Graciet, E., Wellmer, F.","Control of reproductive floral organ identity specification in arabidopsis by the C function regulator AGAMOUS",2013,"Plant Cell","25","7",,"2482","2503",,20,10.1105/tpc.113.113209,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883188046&partnerID=40&md5=4dbcd6eeb73f45ee726fa30975faa2e3",Article,Scopus,2-s2.0-84883188046
"Wuest, S.E., Schmid, M.W., Grossniklaus, U.","Cell-specific expression profiling of rare cell types as exemplified by its impact on our understanding of female gametophyte development",2013,"Current Opinion in Plant Biology","16","1",,"41","49",,3,10.1016/j.pbi.2012.12.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873735832&partnerID=40&md5=31f2663798c3e95c462c8decb9940bc1",Review,Scopus,2-s2.0-84873735832
"Kritsas, K., Wuest, S.E., Hupalo, D., Kern, A.D., Wicker, T., Grossniklaus, U.","Computational analysis and characterization of UCE-like elements (ULEs) in plant genomes",2012,"Genome Research","22","12",,"2455","2466",,9,10.1101/gr.129346.111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870553898&partnerID=40&md5=3709703bfd01a58a6d4f1eced51e8764",Article,Scopus,2-s2.0-84870553898
"Mayank, P., Grossman, J., Wuest, S., Boisson-Dernier, A., Roschitzki, B., Nanni, P., Nühse, T., Grossniklaus, U.","Characterization of the phosphoproteome of mature Arabidopsis pollen",2012,"Plant Journal","72","1",,"89","101",,25,10.1111/j.1365-313X.2012.05061.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866734200&partnerID=40&md5=6eb9524effe18a98e3041a8e31bde99c",Article,Scopus,2-s2.0-84866734200
"Wuest, S.E., O'Maoileidigh, D.S., Rae, L., Kwasniewska, K., Raganelli, A., Hanczaryk, K., Lohan, A.J., Loftus, B., Graciet, E., Wellmer, F.","Molecular basis for the specification of floral organs by APETALA3 and PISTILLATA",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","33",,"13452","13457",,49,10.1073/pnas.1207075109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865176413&partnerID=40&md5=07ab7f78299d67c16d5d192f9f9949bf",Article,Scopus,2-s2.0-84865176413
"Leshem, Y., Johnson, C., Wuest, S.E., Song, X., Ngo, Q.A., Grossniklaus, U., Sundaresan, V.","Molecular characterization of the glauce mutant: A central cell-specific function is required for double fertilization in Arabidopsis",2012,"Plant Cell","24","8",,"3264","3277",,9,10.1105/tpc.112.096420,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866996283&partnerID=40&md5=b05092d2dd4c70690a0e7dc105f1793e",Article,Scopus,2-s2.0-84866996283
"Schmidt, A., Wuest, S.E., Vijverberg, K., Baroux, C., Kleen, D., Grossniklaus, U.","Transcriptome analysis of the arabidopsis megaspore mother cell uncovers the importance of RNA helicases for plant germline development",2011,"PLoS Biology","9","9", e1001155,"","",,34,10.1371/journal.pbio.1001155,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053305681&partnerID=40&md5=9f6bd3c448bfcb1eaddd75996c55cfb2",Article,Scopus,2-s2.0-80053305681
