Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Yu, L.-H., Wu, S.-J., Peng, Y.-S., Liu, R.-N., Chen, X., Zhao, P., Xu, P., Zhu, J.-B., Jiao, G.-L., Pei, Y., Xiang, C.-B.","Arabidopsis EDT1/HDG11 improves drought and salt tolerance in cotton and poplar and increases cotton yield in the field",2015,"Plant Biotechnology Journal",,,,"","",,1,10.1111/pbi.12358,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927920475&partnerID=40&md5=9c9f5e6696a7047b61a8367ad05c10c1",Article in Press,Scopus,2-s2.0-84927920475
"Cai, X.-T., Xu, P., Wang, Y., Xiang, C.-B.","Activated expression of AtEDT1/HDG11 promotes lateral root formation in Arabidopsis mutant edt1 by upregulating jasmonate biosynthesis",2015,"Journal of Integrative Plant Biology",,,,"","",,,10.1111/jipb.12347,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937824565&partnerID=40&md5=a1497c97b942ffdec5a7448de1eded70",Article in Press,Scopus,2-s2.0-84937824565
"Cao, M.-J., Wang, Z., Zhao, Q., Mao, J.-L., Speiser, A., Wirtz, M., Hell, R., Zhu, J.-K., Xiang, C.-B.","Sulfate availability affects ABA levels and germination response to ABA and salt stress in Arabidopsis thaliana",2014,"Plant Journal","77","4",,"604","615",,9,10.1111/tpj.12407,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893855011&partnerID=40&md5=24943fda1d3ed5918f148916d4f6d802",Article,Scopus,2-s2.0-84893855011
"Xu, P., Cai, X.-T., Wang, Y., Xing, L., Chen, Q., Xiang, C.-B.","HDG11 upregulates cell-wall-loosening protein genes to promote root elongation in Arabidopsis",2014,"Journal of Experimental Botany","65","15",,"4285","4295",,4,10.1093/jxb/eru202,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905196963&partnerID=40&md5=2f7fa94aeea447b62f2b58504df2b531",Article,Scopus,2-s2.0-84905196963
"Qi, C.-C., Zhang, Z., Fang, H., Liu, J., Zhou, N., Ge, J.-F., Chen, F.-H., Xiang, C.-B., Zhou, J.-N.","Antidepressant effects of abscisic acid mediated by the downregulation of corticotrophin-releasing hormone gene expression in rats",2014,"International Journal of Neuropsychopharmacology","18","4",,"1","9",,,10.1093/ijnp/pyu006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939213782&partnerID=40&md5=64f24366571b2b5ee42b0f382499e4f5",Article,Scopus,2-s2.0-84939213782
"Yu, L.-H., Miao, Z.-Q., Qi, G.-F., Wu, J., Cai, X.-T., Mao, J.-L., Xiang, C.-B.","MADS-Box transcription factor AGL21 regulates lateral root development and responds to multiple external and physiological signals",2014,"Molecular Plant","7","11",,"1653","1669",,1,10.1093/mp/ssu088,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929334377&partnerID=40&md5=80c8e5d30310ea78cfebe489bca99cbd",Article,Scopus,2-s2.0-84929334377
"Zhao, Y.-X., Wei, Y.-L., Zhao, P., Xiang, C.-B., Xu, F., Li, C., Huang, X.-Z.","Construction of a cDNA library from the ephemeral plant olimarabidopsis pumila and preliminary analysis of expressed sequence tags",2013,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences","68 C","11-12",,"499","508",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891896877&partnerID=40&md5=4a1e7c090cfe840e96693fe506f142d9",Article,Scopus,2-s2.0-84891896877
"Yu, L., Chen, X., Wang, Z., Wang, S., Wang, Y., Zhu, Q., Li, S., Xiang, C.","Arabidopsis enhanced drought tolerance1/HOMEODOMAIN GLABROUS11 confers drought tolerance in transgenic rice without yield penalty",2013,"Plant Physiology","162","3",,"1378","1391",,21,10.1104/pp.113.217596,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879731194&partnerID=40&md5=e7a4e16bce65a6c73c713d3565cde2ac",Article,Scopus,2-s2.0-84879731194
"Xiong, Y., McCormack, M., Li, L., Hall, Q., Xiang, C., Sheen, J.","Glucose-TOR signalling reprograms the transcriptome and activates meristems",2013,"Nature","496","7444",,"181","186",,76,10.1038/nature12030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876287130&partnerID=40&md5=acd3e1bedf079a02072d9130c2cbc9b3",Article,Scopus,2-s2.0-84876287130
"Cao, M.-J., Wang, Z., Wirtz, M., Hell, R., Oliver, D.J., Xiang, C.-B.","SULTR3;1 is a chloroplast-localized sulfate transporter in Arabidopsis thaliana",2013,"Plant Journal","73","4",,"607","616",,20,10.1111/tpj.12059,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874262000&partnerID=40&md5=e14a78873c318b8df512ca2aa92d4278",Article,Scopus,2-s2.0-84874262000
