Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pydiura, N.A., Bayer, G.Y., Galinousky, D.V., Yemets, A.I., Pirko, Y.V., Padvitski, T.A., Anisimova, N.V., Khotyleva, L.V., Kilchevsky, A.V., Blume, Y.B.","Bioinformatic search for cellulose synthase genes in flax (Linum usitatissimum) and their phylogenetic analysis",2015,"Cytology and Genetics","49","5",,"279","287",,,10.3103/S0095452715050084,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944047709&partnerID=40&md5=c36d73dfb15b26f3b9acc609a30f42a8",Article,Scopus,2-s2.0-84944047709
"Vernygorodskyi, S.V., Degtiariova, L.V., Iatsyna, O.I., Blume, Y.B., Yemets, A.I.","Role of transcription factors in transdifferentiation of the gastric mucosa",2015,"T͡Sitologii͡a i genetika","49","2",,"42","47",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930786949&partnerID=40&md5=6f8a07e254bf698a14fd6a198a4b5fb8",Article,Scopus,2-s2.0-84930786949
"Vernygorodskyi, S.V., Degtiariova, L.V., Iatsyna, O.I., Blume, Y.B., Yemets, A.I.","Role of transcription factors in transdifferentiation of the gastric mucosa",2015,"Cytology and Genetics","49","2",,"113","117",,,10.3103/S0095452715020115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928107112&partnerID=40&md5=c8aa720315d2eec788b52cc9efb647d1",Article,Scopus,2-s2.0-84928107112
"Burlaka, O.M., Pirko, Y.V., Yemets, A.I., Blume, Y.B.","Application of carbon nanotubes for plant genetic transformation",2015,"Springer Proceedings in Physics","156",,,"233","255",,,10.1007/978-3-319-06611-0_20,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927601691&partnerID=40&md5=ca9b987017e48b0aae6aefe7321f7ea1",Conference Paper,Scopus,2-s2.0-84927601691
"Tanasienko, I.V., Yemets, A.I., Finiuk, N.S., Stoika, R.R., Blume, Y.B.","DMAEM-based cationic polymers as novel carriers for DNA delivery into cells",2015,"Cell Biology International","39","3",,"243","245",,,10.1002/cbin.10381,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923038120&partnerID=40&md5=17c12fd3e5df5ba8fa48cdc2ac89982e",Review,Scopus,2-s2.0-84923038120
"Yemets, A.I., Krasylenko, Y.A., Blume, Y.B.","Nitric oxide and UV-B radiation",2015,"Nitric Oxide Action in Abiotic Stress Responses in Plants",,,,"141","154",,,10.1007/978-3-319-17804-2_9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943793667&partnerID=40&md5=d9a6147c9f2af35fcd02a3c3f27f451a",Book Chapter,Scopus,2-s2.0-84943793667
"Borovaya, M.N., Naumenko, A.P., Matvieieva, N.A., Blume, Y.B., Yemets, A.I.","Biosynthesis of luminescent CdS quantum dots using plant hairy root culture",2014,"Nanoscale Research Letters","9","1",,"","",7,,10.1186/1556-276X-9-686,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928667804&partnerID=40&md5=80d1fcf6a6b449363ef9163fcc0aa8c8",Article,Scopus,2-s2.0-84928667804
"Radchuk, V., Pirko, I.V., Isaenkov, S.V., Emets, A.I., Blium, I.B.","[cDNA library construction from panicle meristem of finger millet].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","5",,"3","10",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908129783&partnerID=40&md5=e5baf3d6d395b30d6e3251a96bfd48aa",Article,Scopus,2-s2.0-84908129783
"Lytvyn, D.I., Syvura, V.V., Kurylo, V.V., Olenieva, V.D., Yemets, A.I., Blume, Ya.B.","Creation of transgenic sugar beet lines expressing insect pest resistance genes cry1C and cry2A",2014,"Cytology and Genetics","48","2",,"69","75",,,10.3103/S0095452714020078,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900811668&partnerID=40&md5=773fd5dbe9ad2c3e4264fae01fce7d27",Article,Scopus,2-s2.0-84900811668
"Baer, G.I., Emets, A.I., Blium, I.B.","[Obtaining the transgenic lines of finger millet Eleusine coracana (L.) Gaertn. With dinitroaniline resistance].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","3",,"3","11",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906952799&partnerID=40&md5=2fea697d02ddb5270117437ad58c5196",Article,Scopus,2-s2.0-84906952799
