Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Stes, E., Depuydt, S., De Keyser, A., Matthys, C., Audenaert, K., Yoneyama, K., Werbrouck, S., Goormachtig, S., Vereecke, D.","Strigolactones as an auxiliary hormonal defence mechanism against leafy gall syndrome in Arabidopsis thaliana",2015,"Journal of Experimental Botany","66","16",,"5123","5134",,2,10.1093/jxb/erv309,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939507822&partnerID=40&md5=ac80e1d622791b81599583166b2935cd",Conference Paper,Scopus,2-s2.0-84939507822
"Yoneyama, K., Arakawa, R., Ishimoto, K., Kim, H.I., Kisugi, T., Xie, X., Nomura, T., Kanampiu, F., Yokota, T., Ezawa, T., Yoneyama, K.","Difference in striga-susceptibility is reflected in strigolactone secretion profile, but not in compatibility and host preference in arbuscular mycorrhizal symbiosis in two maize cultivars",2015,"New Phytologist","206","3",,"983","989",,1,10.1111/nph.13375,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926520387&partnerID=40&md5=de83cb1434aec30a521680edb0bcf090",Article,Scopus,2-s2.0-84926520387
"Wakabayashi, T., Joseph, B., Yasumoto, S., Akashi, T., Aoki, T., Harada, K., Muranaka, S., Bamba, T., Fukusaki, E., Takeuchi, Y., Yoneyama, K., Muranaka, T., Sugimoto, Y., Okazawa, A.","Planteose as a storage carbohydrate required for early stage of germination of Orobanche minor and its metabolism as a possible target for selective control",2015,"Journal of Experimental Botany","66","11",,"3085","3097",,,10.1093/jxb/erv116,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940705564&partnerID=40&md5=d859e27090e19d53911c52142f098590",Article,Scopus,2-s2.0-84940705564
"Sun, H., Tao, J., Hou, M., Huang, S., Chen, S., Liang, Z., Xie, T., Wei, Y., Xie, X., Yoneyama, K., Xu, G., Zhang, Y.","A strigolactone signal is required for adventitious root formation in rice",2015,"Annals of Botany","115","7",,"1155","1162",,,10.1093/aob/mcv052,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930470459&partnerID=40&md5=709d17c3cfd495c40bcbe7568a76ec0d",Article,Scopus,2-s2.0-84930470459
"Abe, S., Sado, A., Tanaka, K., Kisugi, T., Asami, K., Ota, S., Il Kim, H., Yoneyama, K., Xie, X., Ohnishi, T., Seto, Y., Yamaguchi, S., Akiyama, K., Yoneyama, K., Nomura, T.","Carlactone is converted to carlactonoic acid by MAX1 in Arabidopsis and its methyl ester can directly interact with AtD14 in vitro",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","50",,"18084","18089",,17,10.1073/pnas.1410801111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919363337&partnerID=40&md5=a60b224e7d8539816ac44962c2d9d33e",Article,Scopus,2-s2.0-84919363337
"Fernández-Aparicio, M., Kisugi, T., Xie, X., Rubiales, D., Yoneyama, K.","Low strigolactone root exudation: A novel mechanism of broomrape (Orobanche and Phelipanche spp.) resistance available for faba bean breeding",2014,"Journal of Agricultural and Food Chemistry","62","29",,"7063","7071",,2,10.1021/jf5027235,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905573065&partnerID=40&md5=4f6d9e0050168fbebb450626e839a75a",Article,Scopus,2-s2.0-84905573065
"Rubio-Moraga, A., Ahrazem, O., Pérez-Clemente, R.M., Gómez-Cadenas, A., Yoneyama, K., López-Ráez, J.A., Molina, R.V., Gómez-Gómez, L.","Apical dominance in saffron and the involvement of the branching enzymes CCD7 and CCD8 in the control of bud sprouting",2014,"BMC Plant Biology","14","1", 171,"","",,4,10.1186/1471-2229-14-171,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902758874&partnerID=40&md5=3ba0404b515e2821ecef0c5feb6c1cb6",Article,Scopus,2-s2.0-84902758874
"Yoneyama, K., Kisugi, T., Xie, X., Arakawa, R., Ezawa, T., Nomura, T., Yoneyama, K.","Shoot-derived signals other than auxin are involved in systemic regulation of strigolactone production in roots",2014,"Planta","241","3",,"687","698",,4,10.1007/s00425-014-2208-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925521784&partnerID=40&md5=ba7581b22f24af275c73e9bda97af1b4",Article,Scopus,2-s2.0-84925521784
"Yoneyama, K., Ruyter-Spira, C., Bouwmeester, H.","Induction of germination",2014,"Parasitic Orobanchaceae: Parasitic Mechanisms and Control Strategies",,,,"167","194",,1,10.1007/978-3-642-38146-1_10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929760008&partnerID=40&md5=165a3b78cf224e1b734b0f7da3206c83",Book Chapter,Scopus,2-s2.0-84929760008
"Kim, H.I., Kisugi, T., Khetkam, P., Xie, X., Yoneyema, K., Uchida, K., Yokota, T., Nomura, T., McErlean, C.S.P., Yoneyama, K.","Avenaol, a germination stimulant for root parasitic plants from Avena strigosa",2014,"Phytochemistry","103",,,"85","88",,5,10.1016/j.phytochem.2014.03.030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901234254&partnerID=40&md5=c70f54d49c6d29e84dd46bccd6a35d11",Article,Scopus,2-s2.0-84901234254
"Sun, H., Tao, J., Liu, S., Huang, S., Chen, S., Xie, X., Yoneyama, K., Zhang, Y., Xu, G.","Strigolactones are involved in phosphate- and nitrate-deficiency-induced root development and auxin transport in rice",2014,"Journal of Experimental Botany","65","22",,"6735","6746",,17,10.1093/jxb/eru029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907776656&partnerID=40&md5=b95d761d46e7600f150bf251c3ff2266",Article,Scopus,2-s2.0-84907776656
"Khetkam, P., Xie, X., Kisugi, T., Kim, H.I., Yoneyama, K., Uchida, K., Yokota, T., Nomura, T., Yoneyama, K.","7α- and 7ß-Hydroxyorobanchyl acetate as germination stimulants for root parasitic weeds produced by cucumber",2014,"Journal of Pesticide Science","39","3",,"121","126",,,10.1584/jpestics.D14-038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924357414&partnerID=40&md5=e73afc10887f203341ceaea56b32b3c5",Article,Scopus,2-s2.0-84924357414
"Yokota, T., Handa, H., Yamada, Y., Yoneyama, K., Takeuchi, Y.","Mechanism of the rice hull-induced germination of Monochoria vaginalis seeds in darkness",2014,"Weed Biology and Management","14","2",,"138","144",,,10.1111/wbm.12042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902013583&partnerID=40&md5=977da122969cc6db2de461587e31f27e",Article,Scopus,2-s2.0-84902013583
"Maeda, I., Inaba, A., Koike, H., Yoneyama, K., Ueda, S., Yoshida, K.","Acyclic carotenoid and cyclic apocarotenoid cleavage by an orthologue of lignostilbene-α,β-dioxygenase in Rhodopseudomonas palustris",2013,"Journal of Biochemistry","154","5",,"449","454",,1,10.1093/jb/mvt075,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890503050&partnerID=40&md5=5cf4d0f4b5eba73b5069496543e1885f",Article,Scopus,2-s2.0-84890503050
"Yoneyama, K., Xie, X., Kisugi, T., Nomura, T., Yoneyama, K.","Nitrogen and phosphorus fertilization negatively affects strigolactone production and exudation in sorghum",2013,"Planta","238","5",,"885","894",,12,10.1007/s00425-013-1943-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886403760&partnerID=40&md5=c6d8e865df7ca2b5c502b6bb56c7d0ad",Article,Scopus,2-s2.0-84886403760
