Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Valdivia, E.R., Herrera, M.T., Gianzo, C., Fidalgo, J., Revilla, G., Zarra, I., Sampedro, J.","Regulation of secondary wall synthesis and cell death by NAC transcription factors in the monocot Brachypodium distachyon",2013,"Journal of Experimental Botany","64","5",,"1333","1343",,17,10.1093/jxb/ers394,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875192888&partnerID=40&md5=879da72aa43f621c10b238ca4824d6cb",Article,Scopus,2-s2.0-84875192888
"Zarra, I., Revilla, G., Sampedro, J., Valdivia, E.R.","Phenolic acids in plant cell walls: Composition and industrial applications",2012,"Phenolic Acids: Composition, Applications and Health Benefits",,,,"33","62",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892090609&partnerID=40&md5=7a1643cf294b800424b805adc680d4dc",Book Chapter,Scopus,2-s2.0-84892090609
"Sampedro, J., Gianzo, C., Iglesias, N., Guitián, E., Revilla, G., Zarra, I.","AtBGAL10 is the main xyloglucan β-galactosidase in arabidopsis, and its absence results in unusual xyloglucan subunits and growth defects",2012,"Plant Physiology","158","3",,"1146","1157",,15,10.1104/pp.111.192195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857932200&partnerID=40&md5=03668f12eaecb487309c68b77d532de5",Article,Scopus,2-s2.0-84857932200
"Prieto-Alcedo, M., Veiga-Crespo, P., Poza, M., Coronado, C., Zarra, I., Villa, T.G.","Expression of a yeast polygalacturonase gene in Arabidopsis thaliana",2011,"Biologia Plantarum","55","2",,"349","352",,1,10.1007/s10535-011-0052-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955540258&partnerID=40&md5=435678d410957ae319dd8671cf37158c",Article,Scopus,2-s2.0-79955540258
"Ramírez, V., Agorio, A., Coego, A., García-Andrade, J., Hernandez, M.J., Balaguer, B., Ouwerkerk, P.B.F., Zarra, I., Vera, P.","MYB46 modulates disease susceptibility to Botrytis cinerea in Arabidopsis",2011,"Plant Physiology","155","4",,"1920","1935",,30,10.1104/pp.110.171843,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953700859&partnerID=40&md5=a1446c96c657ff58ce05ba53389e5044",Article,Scopus,2-s2.0-79953700859
"Miedes, E., Zarra, I., Hoson, T., Herbers, K., Sonnewald, U., Lorences, E.P.","Xyloglucan endotransglucosylase and cell wall extensibility",2011,"Journal of Plant Physiology","168","3",,"196","203",,10,10.1016/j.jplph.2010.06.029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650419120&partnerID=40&md5=0a3f730a7a27f36b3f659084e2d61bcd",Article,Scopus,2-s2.0-78650419120
"Pedreira, J., Herrera, M.T., Zarra, I., Revilla, G.","The overexpression of AtPrx37, an apoplastic peroxidase, reduces growth in Arabidopsis",2011,"Physiologia Plantarum","141","2",,"177","187",,8,10.1111/j.1399-3054.2010.01427.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650989623&partnerID=40&md5=b1e27491b0a7f6d6cfdf6e87f10f1d50",Article,Scopus,2-s2.0-78650989623
"Sampedro, J., Pardo, B., Gianzo, C., Guitián, E., Revilla, G., Zarra, I.","Lack of α-xylosidase activity in arabidopsis alters xyloglucan composition and results in growth defects",2010,"Plant Physiology","154","3",,"1105","1115",,27,10.1104/pp.110.163212,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78249267875&partnerID=40&md5=07fc8323bbe653a3bb4701fb38e92db1",Article,Scopus,2-s2.0-78249267875
"Kaida, R., Serada, S., Norioka, N., Norioka, S., Neumetzler, L., Pauly, M., Sampedro, J., Zarra, I., Hayashi, T., Kaneko, T.S.","Potential role for purple acid phosphatase in the dephosphorylation of wall proteins in tobacco cells",2010,"Plant Physiology","153","2",,"603","610",,25,10.1104/pp.110.154138,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953280408&partnerID=40&md5=5f3b6f60d8ce7c3cff7b607fabf1ede6",Article,Scopus,2-s2.0-77953280408
"Castro, R., Piazzon, M.C., Zarra, I., Leiro, J., Noya, M., Lamas, J.","Stimulation of turbot phagocytes by Ulva rigida C. Agardh polysaccharides",2006,"Aquaculture","254","1-4",,"9","20",,26,10.1016/j.aquaculture.2005.10.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33646147356&partnerID=40&md5=dc0b64c05e727f6c4a812cab5327e854",Article,Scopus,2-s2.0-33646147356
