Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Li, T., Wang, H., Wang, J., Zhou, Z., Zhou, J.","Exploring the potential of phyllosilicate minerals as potassium fertilizers using sodium tetraphenylboron and intensive cropping with perennial ryegrass",2015,"Scientific Reports","5",, 9249,"","",,,10.1038/srep09249,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925310548&partnerID=40&md5=1a493a9494f7a16596928bba8a08148d",Article,Scopus,2-s2.0-84925310548
"Wang, G., Roux, B., Feng, F., Guy, E., Li, L., Li, N., Zhang, X., Lautier, M., Jardinaud, M.-F., Chabannes, M., Arlat, M., Chen, S., He, C., Noël, L.D., Zhou, J.-M.","The Decoy Substrate of a Pathogen Effector and a Pseudokinase Specify Pathogen-Induced Modified-Self Recognition and Immunity in Plants",2015,"Cell Host and Microbe","18","3",,"285","295",,2,10.1016/j.chom.2015.08.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941277332&partnerID=40&md5=a7479c2aa1764199a915d66031e517f4",Article,Scopus,2-s2.0-84941277332
"Zhou, J., Fu, Z., Li, P., Yang, J.","Infrared nondestructive testing of cavity defects and PNN recognition and quantitative evaluation",2015,"Hongwai yu Jiguang Gongcheng/Infrared and Laser Engineering","44","4",,"1193","1197",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939786384&partnerID=40&md5=4e090c92b05f31574c179d48c5c4e0bd",Article,Scopus,2-s2.0-84939786384
"Du, C., Zhou, J.","Fourier transform mid-infrared photoacoustic spectroscopy for presymptomatic detection of powdery mildew infection in rubus corchorifolius L.",2015,"Spectroscopy Letters","48","8",,"610","615",,,10.1080/00387010.2014.938758,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924857777&partnerID=40&md5=54ef74ad5bb9551c2fef79f406d90038",Article,Scopus,2-s2.0-84924857777
"Wang, J.D., Wang, H., Zhang, Y., Zhou, J., Chen, X.","Intraspecific variation in potassium uptake and utilization among sweet potato (Ipomoea batatas L.) genotypes",2015,"Field Crops Research","170",,,"76","82",,1,10.1016/j.fcr.2014.10.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911166214&partnerID=40&md5=9e595077c0fe1d53d5f7ea8f178622b7",Article,Scopus,2-s2.0-84911166214
"Zhang, M., Li, Q., Liu, T., Liu, L., Shen, D., Zhu, Y., Liu, P., Zhou, J.-M., Dou, D.","Two cytoplasmic effectors of phytophthora sojae regulate plant cell death via interactions with plant catalases",2015,"Plant Physiology","167","1",,"164","175",,3,10.1104/pp.114.252437,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920200435&partnerID=40&md5=72f29c9ee8ea2bdcd3d2eb0160d875bd",Article,Scopus,2-s2.0-84920200435
"Shen, Y., Zhao, C., Zhou, J., Du, C.","Application of waterborne acrylic emulsions in coated controlled release fertilizer using reacted layer technology",2015,"Chinese Journal of Chemical Engineering","23","1",,"309","314",,,10.1016/j.cjche.2014.09.034,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927643153&partnerID=40&md5=d3ae31e4b00f3dc218d9d025a46accda",Article,Scopus,2-s2.0-84927643153
"Zhou, Z., Wu, Y., Yang, Y., Du, M., Zhang, X., Guo, Y., Li, C., Zhou, J.-M.","An arabidopsis plasma membrane proton ATPase modulates JA signaling and is exploited by the Pseudomonas syringae effector protein AvrB for stomatal invasion",2015,"Plant Cell","27","7",,"2032","2041",,,10.1105/tpc.15.00466,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938834900&partnerID=40&md5=fdd1893b76eebb1fe21bbeb2f0885666",Article,Scopus,2-s2.0-84938834900
"Lu, Y., Du, C., Yu, C., Zhou, J.","Determination of Nitrogen in Rapeseed by Fourier Transform Infrared Photoacoustic Spectroscopy and Independent Component Analysis",2015,"Analytical Letters","48","7",,"1150","1162",,,10.1080/00032719.2014.976872,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923268572&partnerID=40&md5=831c3be08cb4e296b229747c96fcc23d",Article,Scopus,2-s2.0-84923268572
"Shen, Y., Du, C., Zhou, J.","Aqueous polyacrylate/poly(silicone-co-acrylate) emulsion coated fertilizers for slow nutrient-release application",2014,"Journal of Applied Polymer Science","131","12", 40369,"","",,2,10.1002/app.40369,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896395052&partnerID=40&md5=9627d3e4c0c4932f5e5cd532242e5151",Article,Scopus,2-s2.0-84896395052
"Lu, Y., Du, C., Yu, C., Zhou, J.","Determination of the contents of magnesium and potassium in rapeseeds using FTIR-PAS combined with least squares support vector machines and uninformative variable elimination",2014,"Analytical Methods","6","8",,"2586","2591",,1,10.1039/c3ay41460d,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897130155&partnerID=40&md5=774af50bb09a067859cc7aa6e1c05883",Article,Scopus,2-s2.0-84897130155
"Huang, L., Li, Z., Tian, B.-S., Zhou, J.-M., Chen, Q.","Recognition of supraglacial debris in the Tianshan Mountains on polarimetric SAR images",2014,"Remote Sensing of Environment","145",,,"47","54",,2,10.1016/j.rse.2014.01.020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894376297&partnerID=40&md5=bd7565be07d559b8444fe6bf40b3ba75",Article,Scopus,2-s2.0-84894376297
"Li, L., Li, M., Yu, L., Zhou, Z., Liang, X., Liu, Z., Cai, G., Gao, L., Zhang, X., Wang, Y., Chen, S., Zhou, J.-M.","The FLS2-associated kinase BIK1 directly phosphorylates the NADPH oxidase RbohD to control plant immunity",2014,"Cell Host and Microbe","15","3",,"329","338",,41,10.1016/j.chom.2014.02.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896079926&partnerID=40&md5=de90d8bc89d221ca8b9ec8dea47cf644",Article,Scopus,2-s2.0-84896079926
