Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Oh, M.-H., Bender, K.W., Kim, S.Y., Wu, X., Lee, S., Nou, I.-S., Zielinski, R.E., Clouse, S.D., Huber, S.C.","Functional analysis of the BRI1 receptor kinase by Thr-for-Ser substitution in a regulatory autophosphorylation site",2015,"Frontiers in Plant Science","6","JULY",,"","",11,,10.3389/fpls.2015.00562,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938358062&partnerID=40&md5=d29715958f8bf61557faf093a52b180e",Article,Scopus,2-s2.0-84938358062
"Bender, K.W., Wang, X., Cheng, G.B., Kim, H.S., Zielinski, R.E., Huber, S.C.","Glutaredoxin AtGRXC2 catalyses inhibitory glutathionylation of arabidopsis BRI1-associated receptor-like kinase 1 (BAK1) in vitro",2015,"Biochemical Journal","467","3",,"399","413",,,10.1042/BJ20141403,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84932165836&partnerID=40&md5=fce686b2bd31393b851065dd4e8c9691",Article,Scopus,2-s2.0-84932165836
"Oh, M.-H., Wu, X., Kim, H.S., Harper, J.F., Zielinski, R.E., Clouse, S.D., Huber, S.C.","CDPKs are dual-specificity protein kinases and tyrosine autophosphorylation attenuates kinase activity",2012,"FEBS Letters","586","23",,"4070","4075",,6,10.1016/j.febslet.2012.09.040,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869487866&partnerID=40&md5=5d240c3f14c7f26ec792b8d30ffca0d4",Article,Scopus,2-s2.0-84869487866
"Oh, M.-H., Kim, H.S., Wu, X., Clouse, S.D., Zielinski, R.E., Huber, S.C.","Calcium/calmodulin inhibition of the Arabidopsis BRASSINOSTEROID- INSENSITIVE 1 receptor kinase provides a possible link between calcium and brassinosteroid signalling",2012,"Biochemical Journal","443","2",,"515","523",,23,10.1042/BJ20111871,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859467137&partnerID=40&md5=4db1738da181f955472990c89bf79ab9",Article,Scopus,2-s2.0-84859467137
"Oh, M.-H., Sun, J., Oh, D.H., Zielinski, R.E., Clouse, S.D., Huber, S.C.","Enhancing arabidopsis leaf growth by engineering the BRASSINOSTEROID INSENSITIVE1 receptor kinase",2011,"Plant Physiology","157","1",,"120","131",,25,10.1104/pp.111.182741,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052423900&partnerID=40&md5=19c277f47c150ba70cd5137233a7b32b",Article,Scopus,2-s2.0-80052423900
"Tang, J., Zielinski, R., Aldea, M., Delucia, E.","Spatial association of photosynthesis and chemical defense in Arabidopsis thaliana following herbivory by Trichoplusia ni",2009,"Physiologia Plantarum","137","2",,"115","124",,3,10.1111/j.1399-3054.2009.01265.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349145748&partnerID=40&md5=5e862d47f3084e0039bfc5ba54bdaa08",Article,Scopus,2-s2.0-70349145748
"Tang, J.Y., Zielinski, R.E., Zangerl, A.R., Crofts, A.R., Berenbaum, M.R., DeLucia, E.H.","The differential effects of herbivory by first and fourth instars of Trichoplusia ni (Lepidoptera: Noctuidae) on photosynthesis in Arabidopsis thaliana",2006,"Journal of Experimental Botany","57","3",,"527","536",,42,10.1093/jxb/erj032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-31544452308&partnerID=40&md5=d500217b9c02f5c02fd53d12d21261c1",Article,Scopus,2-s2.0-31544452308
"Ali, R., Zielinski, R.E., Berkowitz, G.A.","Expression of plant cyclic nucleotide-gated cation channels in yeast",2006,"Journal of Experimental Botany","57","1",,"125","138",,45,10.1093/jxb/erj012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-29344449722&partnerID=40&md5=2c72e7c529b09887f40187e182e2718a",Conference Paper,Scopus,2-s2.0-29344449722
"Hua, B.-G., Mercier, R.W., Zielinski, R.E., Berkowitz, G.A.","Functional interaction of calmodulin with a plant cyclic nucleotide gated cation channel",2003,"Plant Physiology and Biochemistry","41","11-12",,"945","954",,50,10.1016/j.plaphy.2003.07.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0344496699&partnerID=40&md5=9ba6ce1570355f5e00414710e0db2a22",Article,Scopus,2-s2.0-0344496699
"Nelissen, H., Clarke, J.H., De Block, M., De Block, S., Vanderhaeghen, R., Zielinski, R.E., Dyer, T., Lust, S., Inzé, D., Van Lijsebettens, M.","DRL1, a homolog of the yeast TOT4/KTI12 protein, has a function in meristem activity and organ growth in plants",2003,"Plant Cell","15","3",,"639","654",,53,10.1105/tpc.007062,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242585456&partnerID=40&md5=fb06011bc879272758c872b0860fabc3",Article,Scopus,2-s2.0-0242585456
