Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rickett, L.M., Pullen, N., Hartley, M., Zipfel, C., Kamoun, S., Baranyi, J., Morris, R.J.","Incorporating prior knowledge improves detection of differences in bacterial growth rate",2015,"BMC Systems Biology",,,,"","",,,10.1186/s12918-015-0204-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942064228&partnerID=40&md5=28dbf492314d5b00275fdb7fbf1b51b0",Article in Press,Scopus,2-s2.0-84942064228
"Couto, D., Stransfeld, L., Arruabarrena, A., Zipfel, C., Lozano-Durán, R.","Broad application of a simple and affordable protocol for isolating plant RNA",2015,"BMC Research Notes","8","1", 154,"","",,,10.1186/s13104-015-1119-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928045863&partnerID=40&md5=3850815ba243bddc06eeb9f1f7adb084",Article,Scopus,2-s2.0-84928045863
"Macho, A.P., Zipfel, C.","Targeting of plant pattern recognition receptor-triggered immunity by bacterial type-III secretion system effectors",2015,"Current Opinion in Microbiology","23",,,"14","22",,14,10.1016/j.mib.2014.10.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910667251&partnerID=40&md5=7d3e910c7db5e9795c87e49151cd9fbb",Review,Scopus,2-s2.0-84910667251
"Holton, N., Nekrasov, V., Ronald, P.C., Zipfel, C.","The Phylogenetically-Related Pattern Recognition Receptors EFR and XA21 Recruit Similar Immune Signaling Components in Monocots and Dicots",2015,"PLoS Pathogens","11","1", e1004602,"1","22",,5,10.1371/journal.ppat.1004602,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923845793&partnerID=40&md5=f33921bcd37d44f27456417748b47e8c",Article,Scopus,2-s2.0-84923845793
"Macho, A.P., Lozano-Durán, R., Zipfel, C.","Importance of tyrosine phosphorylation in receptor kinase complexes",2015,"Trends in Plant Science","20","5",,"269","272",,,10.1016/j.tplants.2015.02.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928824860&partnerID=40&md5=c209cf9c2666434c44908a24be87b31a",Review,Scopus,2-s2.0-84928824860
"Monaghan, J., Matschi, S., Romeis, T., Zipfel, C.","The calcium-dependent protein kinase CPK28 negatively regulates the BIK1-mediated PAMPinduced calcium burst",2015,"Plant Signaling and Behavior","10","5",,"1","5",,,10.1080/15592324.2015.1018497,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944041750&partnerID=40&md5=384271a7b2e0ee492f940259c1dc4263",Article,Scopus,2-s2.0-84944041750
"Kadota, Y., Shirasu, K., Zipfel, C.","Regulation of the NADPH Oxidase RBOHD during Plant Immunity",2015,"Plant and Cell Physiology","56","8",,"1472","1480",,1,10.1093/pcp/pcv063,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939488431&partnerID=40&md5=e353639969d7d8fa95fde7f9539dc95a",Article,Scopus,2-s2.0-84939488431
"Zipfel, C.","A new receptor for LPS",2015,"Nature Immunology","16","4",,"340","341",,2,10.1038/ni.3127,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925424473&partnerID=40&md5=1293b57e8c3d142c748397316b28c505",Short Survey,Scopus,2-s2.0-84925424473
"Lozano-Durán, R., Zipfel, C.","Trade-off between growth and immunity: Role of brassinosteroids",2015,"Trends in Plant Science","20","1",,"12","19",,7,10.1016/j.tplants.2014.09.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920133713&partnerID=40&md5=fd87b82f4022e21ae19cecd7a4a654aa",Review,Scopus,2-s2.0-84920133713
"Patron, N.J., Orzaez, D., Marillonnet, S., Warzecha, H., Matthewman, C., Youles, M., Raitskin, O., Leveau, A., Farré, G., Rogers, C., Smith, A., Hibberd, J., Webb, A.A.R., Locke, J., Schornack, S., Ajioka, J., Baulcombe, D.C., Zipfel, C., Kamoun, S., Jones, J.D.G., Kuhn, H., Robatzek, S., Van Esse, H.P., Sanders, D., Oldroyd, G., Martin, C., Field, R., O'Connor, S., Fox, S., Wulff, B., Miller, B., Breakspear, A., Radhakrishnan, G., Delaux, P.-M., Loqué, D., Granell, A., Tissier, A., Shih, P., Brutnell, T.P., Quick, W.P., Rischer, H., Fraser, P.D., Aharoni, A., Raines, C., South, P.F., Ané, J.-M., Hamberger, B.R., Langdale, J., Stougaard, J., Bouwmeester, H., Udvardi, M., Murray, J.A.H., Ntoukakis, V., Schäfer, P., Denby, K., Edwards, K.J., Osbourn, A., Haseloff, J.","Standards for plant synthetic biology: A common syntax for exchange of DNA parts",2015,"New Phytologist","208","1",,"13","19",,,10.1111/nph.13532,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939807175&partnerID=40&md5=59fe7af03bede43344832739140e37b0",Article,Scopus,2-s2.0-84939807175
"Schoonbeek, H.-jan., Wang, H.-H., Stefanato, F.L., Craze, M., Bowden, S., Wallington, E., Zipfel, C., Ridout, C.J.","Arabidopsis EF-Tu receptor enhances bacterial disease resistance in transgenic wheat",2015,"New Phytologist","206","2",,"606","613",,5,10.1111/nph.13356,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925256357&partnerID=40&md5=169d907fd04e11d355b9c420c5a8a165",Article,Scopus,2-s2.0-84925256357
"Hogenhout, S.A., Zipfel, C.","Engineering insect-free cereals",2015,"Nature Biotechnology","33","3",,"262","263",,,10.1038/nbt.3162,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924347924&partnerID=40&md5=f1599a2d46618978343e7a91a3774942",Short Survey,Scopus,2-s2.0-84924347924
"Schwessinger, B., Bahar, O., Thomas, N., Holton, N., Nekrasov, V., Ruan, D., Canlas, P.E., Daudi, A., Petzold, C.J., Singan, V.R., Kuo, R., Chovatia, M., Daum, C., Heazlewood, J.L., Zipfel, C., Ronald, P.C.","Transgenic Expression of the Dicotyledonous Pattern Recognition Receptor EFR in Rice Leads to Ligand-Dependent Activation of Defense Responses",2015,"PLoS Pathogens","11","3", e1004809,"1","34",,1,10.1371/journal.ppat.1004809,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926508200&partnerID=40&md5=d0ebb07ce81fc73291cec39f5add24d0",Article,Scopus,2-s2.0-84926508200
"Pfeilmeier, S., Saur, I.M.-L., Rathjen, J.P., Zipfel, C., Malone, J.G.","High levels of cyclic-di-GMP in plant-associated Pseudomonas correlate with evasion of plant immunity",2015,"Molecular Plant Pathology",,,,"","",,1,10.1111/mpp.12297,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943343779&partnerID=40&md5=034111ad829d703b2a9d81608cfbf29e",Article in Press,Scopus,2-s2.0-84943343779
"Etherington, G.J., Monaghan, J., Zipfel, C., MacLean, D.","Mapping mutations in plant genomes with the user-friendly web application CandiSNP",2014,"Plant Methods","10","1", 41,"","",,,10.1186/s13007-014-0041-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925859529&partnerID=40&md5=437aaee6dbf8c9fd9a141b1544e026bb",Article,Scopus,2-s2.0-84925859529
"Wolf, S., Van Der Does, D., Ladwig, F., Sticht, C., Kolbeck, A., Schürholz, A.-K., Augustin, S., Keinath, N., Rausch, T., Greiner, S., Schumacher, K., Harter, K., Zipfel, C., Höfte, H.","A receptor-like protein mediates the response to pectin modification by activating brassinosteroid signaling",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","42",,"15261","15266",,6,10.1073/pnas.1322979111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908079427&partnerID=40&md5=20bd690792fb1f9bd6b74ff44b860979",Article,Scopus,2-s2.0-84908079427
"Macho, A.P., Zipfel, C.","Plant PRRs and the activation of innate immune signaling",2014,"Molecular Cell","54","2",,"263","272",,62,10.1016/j.molcel.2014.03.028,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899149746&partnerID=40&md5=491f2782685b0058be43c71f83b90f3f",Review,Scopus,2-s2.0-84899149746
"Kadota, Y., Sklenar, J., Derbyshire, P., Stransfeld, L., Asai, S., Ntoukakis, V., Jones, J.DG., Shirasu, K., Menke, F., Jones, A., Zipfel, C.","Direct Regulation of the NADPH Oxidase RBOHD by the PRR-Associated Kinase BIK1 during Plant Immunity",2014,"Molecular Cell","54","1",,"43","55",,60,10.1016/j.molcel.2014.02.021,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898033684&partnerID=40&md5=e0ea3e25027d80cb2121a1279749653f",Article,Scopus,2-s2.0-84898033684
"Prince, D.C., Drurey, C., Zipfel, C., Hogenhout, S.A.","The leucine-rich repeat receptor-like kinase BRASSINOSTEROID INSENSITIVE1-ASSOCIATED KINASE1 and the Cytochrome P450 PHYTOALEXIN DEFICIENT3 contribute to innate immunity to aphids in arabidopsis",2014,"Plant Physiology","164","4",,"2207","2219",,11,10.1104/pp.114.235598,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898736019&partnerID=40&md5=38667f9d24e6fe5892580c28e31d1e11",Article,Scopus,2-s2.0-84898736019
"Malinovsky, F.G., Batoux, M., Schwessinger, B., Youn, J.H., Stransfeld, L., Win, J., Kim, S.-K., Zipfel, C.","Antagonistic regulation of growth and immunity by the arabidopsis basic helix-loop-helix transcription factor HOMOLOG OF BRASSINOSTEROID ENHANCED EXPRESSION2 INTERACTING WITH INCREASED LEAF INCLINATION1 BINDING bHLH1",2014,"Plant Physiology","164","3",,"1443","1455",,17,10.1104/pp.113.234625,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897600992&partnerID=40&md5=cc334c3bc35b9237bff426ec702b139f",Article,Scopus,2-s2.0-84897600992
"Lloyd, S.R., Schoonbeek, H.-J., Trick, M., Zipfel, C., Ridout, C.J.","Methods to study PAMP-Triggered immunity in brassica species",2014,"Molecular Plant-Microbe Interactions","27","3",,"286","295",,4,10.1094/MPMI-05-13-0154-FI,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893676227&partnerID=40&md5=0bf87bfb9770c5c8f0e85eb2940e1553",Article,Scopus,2-s2.0-84893676227
